,mystery
1009,"Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi."
1010,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
1011,"British crime investigation series based around aristocratic, Oxford-educated Detective Inspector Thomas Lynley and his working-class assistant Sergeant Barbara Havers."
1012,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.
1013,"Detective Jay Swan is assigned to investigate a mysterious disappearance on an outback cattle station. Soon, Jay's investigation uncovers a past injustice that threatens the fabric of the whole community."
1014,An institutionalized young woman becomes terrorized by a ghost.
1015,Bumbling Inspector Clouseau must solve the murder of a famous soccer coach and find out who stole the infamous Pink Panther diamond.
1016,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead."
1017,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
1018,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
1019,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
1020,"Winter has fallen on the South Pole. A small team, known as the Winterers, will remain at the Polaris VI Antarctic Research Station to continue their innovative research, a crucial part in the fight against climate change."
1021,"A ""sexy, brilliant"" Boston medical examiner. Despite a checkered career, Dr. Jordan Cavanaugh goes above and beyond to solve cases."
1022,A Florida police chief must solve a vicious double homicide before he himself falls under suspicion.
1023,"Perched on the hull of a wrecked Soviet freighter, a team of deep-sea miners led by head oceanographer Steven Beck comes face to face with a mutant creature that's the product of a failed genetic experiment."
1024,A retiring police detective pledges to catch the killer of a young child.
1025,The cases of a female private detective partnered with a former thief who assumes the role of a fictitious detective in the business.
1026,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
1027,Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery.
1028,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse."
1029,"After having their conviction overturned, people wrongly accused of murder rebuild their lives while the police hunt the true culprit."
1030,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories."
1031,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work."
1032,The apocalypse proves a blessing in disguise for one lucky recluse--until a second survivor arrives with the threat of companionship.
1033,"A rich divorcee Chris falls in love with a mysterious woman Sky where Chris, ex-wife and his child eventually gets trapped and a desperate fight for survival will most likely ensue."
1034,Detectives Janet Scott & Rachel Bailey investigate murders with Manchester Police's Major Incident Team.
1035,A weekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.
1036,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
1037,A horror anthology series with each episode inspired by a holiday.
1038,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces."
1039,Mutant heroes live in New York sewers and train in martial arts to protect the city from crime.
1040,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up."
1041,Newly promoted DI Rachita Ray takes on a case that forces her to face a lifelong personal conflict.
1042,A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.
1043,Psychic John Clancy (Sir Anthony Hopkins) works with the F.B.I. in order to hunt down a serial killer.
1044,"From the moment the new Reverend climbs the pulpit, Liz knows that she and her family are in great danger."
1045,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends."
1046,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.
1047,"After a doctor is called to visit a crumbling manor, strange things begin to occur."
1048,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
