,romance
1010,"Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life."
1011,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.
1012,"Sang Zhi falls in love with Duan Jia Xu, the boy who often comes to her house to play with her brother. Years after she joins the university in the city he now lives, and during their day-to-day interactions, they slowly fall in love."
1013,"Kalix, a student hailing from a family of doctors who decided to tread a different path and take up Legal Management at a University. During that, he crosses paths with Luna, an Architecture student from the University of Santo Tomas."
1014,"At the end of WW2, aboard a repatriation ship, an Army doctor reminisces about his war years while being interviewed by a reporter."
1015,"""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30."
1016,"A grieving woman magically travels through time to 1998, where she meets a man with an uncanny resemblance to her late love."
1017,"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom."
1018,A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.
1019,"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love."
1020,Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.
1021,A shy senior and a down-to-earth junior fall in love over one weekend.
1022,A group of young adults navigate love and relationships in New York City.
1023,A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.
1024,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation."
1025,A retired orchestra conductor is on vacation with his daughter and his film director best friend in the Alps when he receives an invitation from Queen Elizabeth II to perform for Prince Philip's birthday.
1026,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
1027,"A color-blind psychoanalyst is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that he begins having intense sexual encounters with."
1028,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends."
1029,"The author of a controversially racy best-selling book tries to hide her celebrity status from her provincial small-town neighbors, who would be scandalized if they knew."
1030,A spinoff of Girlfriends (2000) featuring a group of women who all have relationships with professional football players.
1031,"Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall."
1032,"A deceased billionaire leaves his spoiled adult grandson a series of odd tasks to perform in order to receive ""the ultimate gift,"" with the resentful grandson having no idea what that might be."
1033,"During post-WWII McCarthyism, a diametrically opposed couple come together only to find out that genuine friendship and physical attraction is not enough to overcome fundamental societal beliefs."
1034,A Jewish girl disguises herself as a boy to enter religious training.
1035,"Under a dystopian religious tyranny, most women cannot conceive children. Those young women who can live in a form of sexual slavery to provide children for influential families."
1036,A wealthy real estate developer takes a young woman from an everyday mundane life and shows her a world of decadence and debauchery that pushes her sexual limits to the brink.
1037,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career."
1038,A woman is unexpectedly forced to choose between the husband she has long thought dead and the fiance who has finally brought her back to life.
1039,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise."
1040,A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.
1041,An uptight IRS agent is ordered to investigate a rural family in debt to the government...but the family - including lovely daughter Mariette - help him loosen up.
1042,"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood."
1043,"Two ambitious girls, despite their parents' wishes, have their hearts set on careers in professional football."
1044,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
1045,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend."
1046,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
1047,A grown-up woman who kept her childish instincts and behavior starts working as the nanny of an 8-year-old girl who actually acts like an adult. But everything ends right-side up.
1048,"Centers on two toxic, self-destructive people who fall in love and attempt a relationship."
1049,"The social and class divisions in early 20th century England through the intersection of three families - the wealthy Wilcoxes, the gentle and idealistic Schlegels and the lower-middle class Basts."
